district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Çağlayancerit,52,15915,13713,13333,6844,1368,145,66,819,1830,118,2044,82,17,0,Kahramanmaraş
Ekinözü,32,8304,7517,7303,3885,1029,26,20,615,819,62,776,63,8,0,Kahramanmaraş
Nurhak,34,9068,7526,7290,1884,795,12,31,732,3215,118,445,42,16,0,Kahramanmaraş
Dulkadiroğlu,429,140478,128120,125883,85364,18166,231,214,3254,7596,1565,8018,1354,121,0,Kahramanmaraş
Onikişubat,774,262684,240607,237365,150620,38032,492,355,2608,12803,3981,25555,2586,333,0,Kahramanmaraş
Adilcevaz,72,17673,14827,14434,4733,1596,82,25,6824,501,115,445,108,5,0,Bitlis
Ahlat,85,23160,20045,19588,6824,1575,51,22,9589,513,131,740,134,9,0,Bitlis
Bitlis Merkez,167,40561,34093,32765,16355,991,729,68,11342,1063,429,1599,156,33,0,Bitlis
Hizan,95,19355,14952,14237,7291,253,40,79,5944,246,144,179,52,9,0,Bitlis
Mutki,88,17700,14602,14145,10458,304,103,40,2038,209,106,822,50,15,0,Bitlis
Tatvan,178,54180,45391,43490,16938,1057,703,242,22047,789,502,982,200,30,0,Bitlis
Güroymak,95,25881,21658,20859,7889,466,101,50,11326,262,340,375,41,9,0,Bitlis
Amasya Merkez,345,101641,93175,91414,40714,11982,114,159,1544,21331,997,13421,933,219,0,Amasya
Göynücek,50,8202,7466,7235,3827,902,24,28,161,1483,52,668,78,12,0,Amasya
Gümüşhacıköy,84,18699,17508,17146,6105,1147,32,22,613,7758,211,1088,129,41,0,Amasya
Merzifon,204,54817,49846,49067,19253,5859,60,77,1097,15710,606,5854,453,98,0,Amasya
Suluova,129,35156,32277,31435,18476,4519,47,66,352,3701,398,3407,420,49,0,Amasya
Taşova,107,24894,22401,21642,11778,2344,74,82,187,4187,182,2471,294,43,0,Amasya
Hamamözü,22,3077,2893,2804,1393,445,8,13,28,633,23,213,43,5,0,Amasya
Ardahan Merkez,110,27384,23275,22387,6728,1634,80,84,6916,4811,161,1755,161,57,0,Ardahan
Çıldır,43,6985,5815,5609,2300,671,31,35,203,1874,45,367,64,19,0,Ardahan
Göle,74,17953,14665,14144,6731,531,51,36,4345,1821,263,252,99,15,0,Ardahan
Hanak,37,6981,6113,5854,1656,389,20,20,698,2763,42,209,31,26,0,Ardahan
Posof,53,5384,4713,4550,2701,415,10,17,176,904,41,210,73,3,0,Ardahan
Damal,19,4718,4282,4130,315,106,11,10,1020,2515,17,107,7,22,0,Ardahan
Seçim çevresi toplamı (1 nolu),4469,1577841,1397565,1373392,377584,78038,2276,4223,169996,569968,10758,145611,9097,4882,959,İzmir
Çeşme,102,34017,29926,29475,5987,1616,17,77,2938,15478,103,2953,169,114,23,İzmir
Karaburun,33,8613,7734,7563,1734,376,9,36,619,3981,36,695,43,16,18,İzmir
Seferihisar,99,31956,28490,27944,6483,1827,26,119,2907,13393,184,2697,181,110,17,İzmir
Selçuk,88,28043,25326,24828,5669,1529,43,76,2791,10967,149,3378,135,79,12,İzmir
Torbalı,368,123521,110645,108227,35758,7403,274,241,15323,35235,898,11893,787,333,82,İzmir
Urla,151,49901,44801,44062,8121,1697,38,213,4274,24286,223,4805,192,181,32,İzmir
Buca,985,359766,316443,311238,92283,20245,591,843,38873,117308,2707,34871,2245,1092,180,İzmir
Konak,803,278789,241841,237584,60782,9516,419,899,33505,106359,1595,22121,1361,844,183,İzmir
Menderes,203,69335,62111,60611,19726,3880,130,167,4358,24626,491,6494,468,215,56,İzmir
Balçova,170,60800,54295,53651,10402,2225,38,182,5935,28139,349,5850,242,251,38,İzmir
Gaziemir,273,98438,89089,87759,23771,6243,152,232,8945,34741,775,11888,608,347,57,İzmir
Narlıdere,137,49405,44870,44236,5623,1140,39,193,7734,24890,191,4088,133,167,38,İzmir
Güzelbahçe,71,24133,21918,21620,3402,849,17,125,2145,12275,110,2502,73,100,22,İzmir
Karabağlar,986,361124,320076,314594,97843,19492,483,820,39649,118290,2947,31376,2460,1033,201,İzmir
Akdağmadeni,137,29699,23813,23309,13393,5365,50,40,73,1831,326,1814,386,31,0,Yozgat
Boğazlıyan,97,25176,21883,21359,8959,4199,29,37,234,5605,147,1792,319,38,0,Yozgat
Çayıralan,42,9546,7285,7102,3528,1294,16,34,70,1453,52,530,111,14,0,Yozgat
Çekerek,70,14355,13119,12842,8099,2035,29,26,101,1427,199,739,167,20,0,Yozgat
Sarıkaya,108,24076,19499,19090,10198,5760,38,39,76,1007,182,1303,478,9,0,Yozgat
Sorgun,223,55389,48833,48096,27206,12947,74,61,449,3024,640,2867,779,49,0,Yozgat
Şefaatli,71,11524,9932,9739,4606,2092,33,21,42,1267,69,1438,158,13,0,Yozgat
Yerköy,125,27094,23412,22984,11178,5052,48,58,473,2834,384,2551,371,35,0,Yozgat
Yozgat Merkez,267,68154,61346,60271,29086,17263,80,72,450,7191,731,4186,1118,94,0,Yozgat
Aydıncık,35,7295,6730,6623,4177,1181,14,12,86,650,47,363,88,5,0,Yozgat
Çandır,15,3386,2877,2816,1198,695,6,10,4,634,12,204,51,2,0,Yozgat
Kadışehri,39,7901,7139,7026,4336,1632,7,5,18,595,100,211,117,5,0,Yozgat
Saraykent,35,8361,6351,6246,3764,1883,12,6,8,116,60,298,97,2,0,Yozgat
Yenifakılı,19,4312,3822,3701,1612,608,7,9,16,941,17,431,54,6,0,Yozgat
Ağın,23,2285,1969,1898,960,208,7,10,42,401,36,209,21,4,0,Elazığ
Baskil,75,10050,8872,8701,6358,854,25,10,159,650,106,461,64,14,0,Elazığ
Elazığ Merkez,956,305354,260946,255074,131110,38459,2831,330,21159,30372,4442,23344,2673,354,0,Elazığ
Karakoçan,103,20043,16747,16120,7109,562,204,48,6600,712,569,249,55,12,0,Elazığ
Keban,41,5038,4532,4454,2579,649,11,11,192,546,51,364,43,8,0,Elazığ
Maden,49,8433,6761,6541,3470,695,75,23,496,1039,49,605,81,8,0,Elazığ
Palu,61,13082,11203,10910,7341,1402,809,15,567,236,248,215,73,4,0,Elazığ
Sivrice,60,6270,5404,5274,3316,844,15,11,140,583,73,247,40,5,0,Elazığ
Arıcak,34,9622,7750,7397,5116,345,157,15,1252,224,130,118,34,6,0,Elazığ
Kovancılar,128,26140,21133,20569,13880,1621,963,84,2548,596,314,404,146,13,0,Elazığ
Alacakaya,20,4702,4014,3888,2365,389,100,2,478,292,60,180,18,4,0,Elazığ
Avanos,85,24835,21940,21476,9353,3428,43,60,444,5635,211,1989,271,42,0,Nevşehir
Derinkuyu,47,14624,12929,12673,6558,2280,15,23,56,2647,197,733,149,15,0,Nevşehir
Gülşehir,66,16454,14462,13987,7237,2823,38,54,52,1702,84,1720,246,31,0,Nevşehir
Hacıbektaş,47,9168,8306,8068,2144,558,28,35,502,4053,42,612,77,17,0,Nevşehir
Kozaklı,52,10796,9401,9144,4243,976,20,27,70,2702,61,920,101,24,0,Nevşehir
Nevşehir Merkez,277,94402,85498,84178,46512,17637,335,129,925,8574,1167,7818,937,144,0,Nevşehir
Ürgüp,95,26650,24170,23693,11854,3651,51,66,269,4677,252,2578,249,46,0,Nevşehir
Acıgöl,44,13591,12456,12162,9083,1753,21,24,17,506,161,471,121,5,0,Nevşehir
Divriği,139,13734,12740,12448,2551,684,12,22,1173,7465,77,394,40,28,2,Sivas
Gemerek,81,17537,15076,14624,5956,2843,29,47,144,3616,202,1542,207,33,5,Sivas
Gürün,94,14254,12247,11993,5806,2201,10,28,247,1988,292,1221,169,25,6,Sivas
Hafik,87,8236,7766,7643,3302,845,15,16,166,2798,147,259,85,9,1,Sivas
İmranlı,101,6824,6211,6137,1407,584,7,10,713,3152,30,168,48,13,5,Sivas
Kangal,138,16360,14554,14296,5136,3346,66,25,488,3678,146,1128,260,23,0,Sivas
Koyulhisar,69,10721,9360,8963,5532,1097,32,45,79,1275,131,621,131,13,7,Sivas
Sivas Merkez,814,250365,226903,223422,125459,49077,227,267,2421,20869,4699,16833,3030,342,198,Sivas
Suşehri,107,19106,17264,16852,12239,1790,31,47,67,1059,241,1198,157,20,3,Sivas
Şarkışla,162,28122,24765,24210,13775,3735,28,43,293,3925,492,1580,291,26,22,Sivas
Yıldızeli,153,24212,20899,20588,12245,3784,25,20,194,3137,207,690,268,15,3,Sivas
Zara,162,17936,16345,16076,7467,2160,20,21,723,4556,121,758,213,31,6,Sivas
Akıncılar,38,4307,3790,3690,2492,304,9,10,30,550,42,207,42,3,1,Sivas
Altınyayla,30,6554,5787,5707,3984,931,4,2,12,417,109,171,69,7,1,Sivas
Doğanşar,32,2554,2241,2200,1689,308,3,2,0,59,39,83,17,0,0,Sivas
Gölova,33,2713,2346,2299,1679,202,3,4,20,216,36,112,21,6,0,Sivas
Ulaş,47,6533,6001,5885,2727,1514,11,6,93,1053,41,327,103,4,6,Sivas
Afyonkarahisar Merkez,584,195131,179752,176728,99396,24542,229,271,1719,20314,2238,25386,2280,353,0,Afyonkarahisar
Bolvadin,122,31137,27724,26995,14450,5984,56,47,154,2445,370,2963,478,48,0,Afyonkarahisar
Çay,81,23590,20939,20203,9935,2556,64,80,143,3783,187,3194,214,47,0,Afyonkarahisar
Dazkırı,34,8481,7787,7605,3647,1058,24,15,41,1560,71,1082,86,21,0,Afyonkarahisar
Dinar,151,34977,30977,29932,12750,4046,98,107,254,7502,293,4453,334,95,0,Afyonkarahisar
Emirdağ,132,27862,22693,21957,11339,2532,70,74,189,4490,203,2740,283,37,0,Afyonkarahisar
İhsaniye,79,19876,18590,18150,11268,2971,25,53,61,1841,155,1546,210,20,0,Afyonkarahisar
Sandıklı,150,41255,36672,35494,19861,4766,92,126,224,4231,511,5176,448,59,0,Afyonkarahisar
Sinanpaşa,118,30039,27285,26423,16053,3575,62,80,64,3143,171,2864,366,45,0,Afyonkarahisar
Sultandağı,48,12699,11355,10905,2951,886,65,69,222,4412,104,2090,59,47,0,Afyonkarahisar
Şuhut,102,27722,25762,24995,15344,2357,50,58,96,4078,270,2420,289,33,0,Afyonkarahisar
Başmakçı,31,7818,7126,6797,3061,881,27,39,32,1707,56,893,81,20,0,Afyonkarahisar
Bayat,24,5695,5110,4853,2630,622,18,28,28,711,29,693,84,10,0,Afyonkarahisar
İscehisar,56,16583,15639,15317,9838,1747,28,27,73,680,157,2440,306,21,0,Afyonkarahisar
Çobanlar,34,9011,8358,8110,4234,1696,25,15,25,762,57,1150,137,9,0,Afyonkarahisar
Evciler,22,5617,5094,4979,2321,552,11,8,15,1305,29,678,53,7,0,Afyonkarahisar
Hocalar,30,7357,6528,6206,3726,997,26,32,35,562,54,654,114,6,0,Afyonkarahisar
Kızılören,9,2001,1775,1706,809,270,7,9,7,284,10,284,24,2,0,Afyonkarahisar
Almus,77,16055,14256,13942,5457,1621,23,26,734,5144,125,664,128,20,0,Tokat
Artova,37,6379,5908,5794,3238,799,11,7,84,1144,55,395,49,12,0,Tokat
Erbaa,249,68513,61276,59542,30717,10948,153,166,275,9193,908,6133,959,90,0,Tokat
Niksar,194,46111,41084,39974,18364,6336,63,104,729,9698,415,3595,605,65,0,Tokat
Reşadiye,130,23046,20003,19568,10201,3562,39,49,170,3709,218,1244,343,33,0,Tokat
Tokat Merkez,446,134476,123567,121840,63547,20290,156,159,1752,19627,1659,13094,1365,191,0,Tokat
Turhal,210,60401,54353,53374,24023,8033,74,63,1119,12917,884,5546,614,101,0,Tokat
Zile,207,42857,39321,38681,14401,5700,41,44,1047,13687,327,2936,419,79,0,Tokat
Pazar,40,10113,9328,9172,5812,1324,17,25,22,799,81,1001,84,7,0,Tokat
Yeşilyurt,30,6359,5540,5428,3005,1180,18,7,46,611,73,417,68,3,0,Tokat
Başçiftlik,18,3829,3142,3059,1820,456,15,8,5,502,35,178,37,3,0,Tokat
Sulusaray,25,5310,4720,4622,2817,1015,5,6,16,386,54,260,62,1,0,Tokat
Seyhan,1509,544445,466048,457965,136592,40669,2447,793,92814,131387,4605,44007,3533,977,141,Adana
Ceyhan,354,110714,95135,93224,28443,13283,372,190,15444,21430,779,12238,846,157,42,Adana
Feke,62,12564,10987,10632,5818,1626,57,43,44,1326,128,1449,114,20,7,Adana
Karaisalı,79,16041,14537,14143,7879,2432,46,25,91,1292,187,2038,139,12,2,Adana
Karataş,70,16151,14180,13963,3457,1896,31,24,1569,5233,104,1505,110,34,0,Adana
Kozan,305,92315,78781,76810,36118,11986,248,209,853,11241,1042,14052,900,139,22,Adana
Pozantı,51,14503,13181,12881,5803,2004,30,28,233,2684,212,1709,153,21,4,Adana
Saimbeyli,45,10942,8996,8688,4429,2107,36,43,69,922,79,868,119,11,5,Adana
Tufanbeyli,60,12755,11152,10809,4626,2508,64,33,156,2084,167,1018,139,10,4,Adana
Yumurtalık,47,13108,11274,11003,3811,1788,29,33,391,2678,100,2027,118,27,1,Adana
Yüreğir,787,275514,230697,225295,88348,22022,2929,338,37420,49539,2193,20010,1990,456,50,Adana
Aladağ,50,12018,10829,10507,5092,1859,45,44,63,1557,135,1598,99,11,4,Adana
İmamoğlu,66,20256,16948,16477,8005,2440,37,33,389,2711,227,2364,243,25,3,Adana
Sarıçam,322,106808,93526,91922,37337,19863,265,112,4109,14026,858,13903,1264,166,19,Adana
Çukurova,736,266788,237226,234948,56345,23610,356,447,19186,89387,2922,40236,1637,713,109,Adana
Acıpayam,146,43463,39605,37924,18656,3091,137,158,386,9130,348,5423,332,101,162,Denizli
Buldan,79,20942,19188,18381,6754,1835,63,75,200,4874,114,4260,127,73,6,Denizli
Çal,68,15728,14564,13974,4782,1100,43,77,206,4932,126,2551,98,49,10,Denizli
Çameli,52,14791,13298,12709,7939,785,65,75,83,2001,89,1513,110,23,26,Denizli
Çardak,26,6664,6058,5844,2320,432,12,21,36,1865,54,1029,46,26,3,Denizli
Çivril,165,45987,41163,39543,15804,2988,119,174,506,12657,374,6450,326,123,22,Denizli
Güney,35,8071,7503,7132,2608,447,28,37,63,2904,46,920,47,26,6,Denizli
Kale,59,15190,13717,13049,6469,1705,78,82,126,2132,116,2185,124,24,8,Denizli
Sarayköy,78,23029,21115,20556,6111,1724,62,82,1592,7385,106,3292,134,64,4,Denizli
Tavas,121,35350,32067,30885,14498,3071,114,104,308,7134,205,5062,283,82,24,Denizli
Babadağ,21,4993,4653,4429,2091,377,17,25,27,1015,51,781,35,10,0,Denizli
Bekilli,24,5722,5210,5015,1635,256,16,51,66,2298,31,610,23,23,6,Denizli
Honaz,76,21261,20243,19583,7185,1723,70,93,884,5727,146,3542,140,64,9,Denizli
Serinhisar,36,11042,10429,10122,4421,1045,22,21,84,2661,73,1677,88,23,7,Denizli
Pamukkale,681,241553,218993,214390,85207,21080,386,522,7222,59612,1770,35955,1771,709,156,Denizli
Baklan,17,4473,4085,3875,1679,268,17,16,28,934,22,878,15,11,7,Denizli
Beyağaç,22,5217,4757,4529,2081,384,22,26,33,1100,29,791,45,14,4,Denizli
Bozkurt,35,8661,7994,7673,3239,400,17,26,102,2632,50,1140,38,23,6,Denizli
Merkezefendi,603,215760,198018,194383,70518,17757,426,456,12077,56087,1782,33058,1500,615,107,Denizli
Ağrı Merkez,279,84420,66580,64316,26100,1833,873,96,31030,1496,760,1485,364,52,227,Ağrı
Diyadin,99,22903,17512,16785,3101,189,69,45,12582,403,140,202,36,13,5,Ağrı
Doğubayazıt,224,66626,51296,49337,7060,595,453,90,39245,1049,209,499,88,30,19,Ağrı
Eleşkirt,91,20010,15241,14678,7827,444,88,28,5420,268,272,253,60,13,5,Ağrı
Hamur,50,9613,7622,7371,2835,74,43,18,3953,232,67,115,19,2,13,Ağrı
Patnos,228,63387,51244,49695,9761,735,129,79,36608,1559,247,446,98,25,8,Ağrı
Taşlıçay,49,11331,9102,8749,1866,525,43,15,5782,172,55,221,59,6,5,Ağrı
Tutak,87,17185,13748,13336,3734,776,33,31,8063,242,63,280,97,12,5,Ağrı
Ayvacık,125,27344,24896,24305,9030,1517,56,129,988,8894,142,3339,137,66,7,Çanakkale
Bayramiç,116,23801,22169,21461,7895,1022,83,103,297,8104,178,3592,108,63,16,Çanakkale
Biga,253,69038,63206,61874,29679,4914,116,172,1113,16065,520,8536,564,173,22,Çanakkale
Bozcaada,7,2448,2198,2175,480,68,2,3,227,1043,13,318,10,10,1,Çanakkale
Çan,150,38426,35845,35095,15052,3128,76,84,295,9165,205,6735,256,86,13,Çanakkale
Çanakkale Merkez,386,126514,114297,112581,29297,6675,130,331,6277,45953,697,22068,567,432,154,Çanakkale
Eceabat,28,7409,6825,6635,1462,245,13,22,177,3315,40,1312,20,28,1,Çanakkale
Ezine,97,24916,22771,22066,8147,1307,60,77,531,7947,175,3622,117,68,15,Çanakkale
Gelibolu,103,32908,29111,28375,8090,1671,54,92,867,12551,427,4313,159,134,17,Çanakkale
Gökçeada,26,6103,5265,5103,1523,471,8,27,739,1359,49,851,52,17,7,Çanakkale
Lapseki,87,21542,19937,19412,8504,1761,45,65,386,4622,125,3678,175,47,4,Çanakkale
Yenice,122,26360,24525,23756,12741,1869,56,110,172,4707,215,3509,311,60,6,Çanakkale
Akçakoca,108,29502,26610,26017,12242,4390,30,89,602,5430,617,2186,360,71,0,Düzce
Düzce Merkez,498,160924,146082,143616,76976,28091,151,355,2512,21093,2187,9883,2066,302,0,Düzce
Yığılca,59,11269,10237,9812,6780,1371,35,64,42,795,90,436,189,10,0,Düzce
Cumayeri,43,10435,9593,9419,5858,1699,14,12,157,736,159,646,109,29,0,Düzce
Gölyaka,58,15551,14412,14072,8162,2044,23,33,50,2595,182,739,221,23,0,Düzce
Çilimli,51,13090,12752,12510,7565,2510,12,23,264,946,149,803,214,24,0,Düzce
Gümüşova,41,11565,10663,10464,6076,1799,25,25,153,1294,61,888,136,7,0,Düzce
Kaynaşlı,57,15274,13973,13734,8362,2835,13,23,38,1408,139,640,246,30,0,Düzce
Çemişgezek,39,6038,5052,4936,2324,562,4,4,729,1061,30,161,54,7,0,Tunceli
Hozat,32,4500,3813,3725,409,181,1,6,1601,1447,8,55,12,5,0,Tunceli
Mazgirt,75,6718,5869,5721,459,189,7,2,3895,1094,6,47,16,2,4,Tunceli
Nazımiye,28,2810,2572,2482,206,170,7,1,1165,872,9,40,11,1,0,Tunceli
Ovacık,64,5406,4691,4591,260,221,3,4,2482,1573,12,25,5,5,1,Tunceli
Pertek,61,8813,7568,7357,1109,620,15,19,3469,1944,29,110,34,5,3,Tunceli
Pülümür,13,3021,2738,2644,216,95,4,3,1088,1181,13,40,1,3,0,Tunceli
Tunceli Merkez,122,26984,23146,22738,2245,981,16,24,13790,5186,58,371,37,23,7,Tunceli
Ayancık,101,18756,16062,15529,8868,884,46,67,164,4192,152,954,155,47,0,Sinop
Boyabat,166,32646,28656,27816,17503,2666,79,143,302,3784,350,2565,357,67,0,Sinop
Durağan,92,13191,11585,11176,7985,1244,41,74,72,739,120,737,140,24,0,Sinop
Erfelek,55,9581,8333,7916,4322,300,45,61,95,2211,92,696,70,24,0,Sinop
Gerze,86,19718,17306,16520,8687,942,66,120,368,4161,201,1725,205,45,0,Sinop
Sinop Merkez,149,45729,40727,39521,14365,2268,88,183,948,15832,398,5027,263,149,0,Sinop
Türkeli,50,11408,9763,9500,6842,722,29,34,53,1063,97,507,143,10,0,Sinop
Dikmen,33,4207,3549,3324,2285,198,28,65,44,424,34,188,51,7,0,Sinop
Saraydüzü,33,4604,4129,3987,2782,338,22,31,19,378,72,276,61,8,0,Sinop
Seçim çevresi toplamı (1 nolu),3222,1100727,991424,972351,410195,95343,1684,2313,42473,250893,16150,140212,9074,3129,885,Bursa
Karacabey,207,62453,56087,54636,22219,5027,129,158,2706,12239,1081,10381,492,185,19,Bursa
Mustafakemalpaşa,280,77783,70868,68779,31177,5965,189,204,1303,13990,2213,12901,594,211,32,Bursa
Orhaneli,83,15471,14433,13805,7410,1377,62,87,74,1931,441,2268,120,30,5,Bursa
Büyükorhan,49,8053,7294,6783,4370,496,30,48,69,786,160,731,63,26,4,Bursa
Nilüfer,849,305737,279491,275942,88110,21919,275,678,14054,99976,3868,44003,1864,1062,133,Bursa
Osmangazi,1754,631230,563251,552406,256909,60559,999,1138,24267,121971,8387,69928,5941,1615,692,Bursa
Akçakale,196,49448,44572,43906,29246,11202,696,10,1090,424,128,411,536,24,139,Şanlıurfa
Birecik,196,54194,42013,40875,19049,2452,1159,54,13917,2503,398,1115,193,28,7,Şanlıurfa
Bozova,137,32048,25575,24857,12423,1152,492,36,9455,518,218,419,122,12,10,Şanlıurfa
Ceylanpınar,148,45323,37373,36367,14536,2682,1022,28,14642,1963,759,393,196,27,119,Şanlıurfa
Halfeti,90,23563,17922,17196,6025,405,88,38,9104,1039,106,323,51,14,3,Şanlıurfa
Hilvan,118,25131,21301,20743,8612,611,1178,48,7185,2200,376,457,53,14,9,Şanlıurfa
Siverek,466,134935,103063,99448,47057,4120,2463,156,38428,3598,934,2125,452,72,43,Şanlıurfa
Suruç,206,57712,46253,44844,13634,394,590,43,28742,786,261,320,50,14,10,Şanlıurfa
Viranşehir,355,98882,80068,78399,32232,2899,994,64,39216,1275,462,763,250,23,221,Şanlıurfa
Harran,157,37735,35233,34994,16485,16494,49,21,122,218,82,257,1222,10,34,Şanlıurfa
Eyyübiye,582,186972,144797,141086,90941,12419,1712,180,27482,2407,1672,1896,1087,75,1215,Şanlıurfa
Haliliye,658,209478,175527,172056,101119,16036,2023,166,36311,7275,3094,3289,1174,121,1448,Şanlıurfa
Karaköprü,343,105394,90636,89090,48726,6613,1029,83,21562,4674,2423,3197,496,97,190,Şanlıurfa
Akşehir,223,70004,60479,58706,29264,8526,119,183,848,9637,725,8520,744,124,16,Konya
Beyşehir,183,53130,47642,46354,25395,8039,99,101,211,3458,950,7443,571,74,13,Konya
Bozkır,87,19540,16983,16355,9258,3183,37,44,105,1466,305,1662,213,23,59,Konya
Cihanbeyli,126,36705,28952,28288,12481,3004,94,35,8638,2371,309,1116,209,16,15,Konya
Çumra,151,46009,42441,41661,24508,9555,61,41,207,1877,846,3929,587,38,12,Konya
Doğanhisar,47,13255,11853,11019,6133,1025,42,60,56,1709,267,1550,125,45,7,Konya
Ereğli,322,102705,89942,87713,33629,16520,157,182,3461,19819,1287,11309,1144,185,20,Konya
Hadim,46,9019,8103,7855,4573,1369,18,28,52,646,172,909,75,10,3,Konya
Ilgın,142,41114,36570,35287,17312,7429,77,90,248,4168,745,4714,435,55,14,Konya
Kadınhanı,91,21871,19970,19599,12142,4113,24,22,76,1344,408,1235,208,19,8,Konya
Karapınar,112,33768,30091,29291,15755,5206,50,47,137,4588,622,2416,413,50,7,Konya
Kulu,120,34782,26028,25231,14029,2428,56,32,5686,1399,424,914,240,17,6,Konya
Sarayönü,67,19048,17560,17243,11717,2273,13,17,158,1015,703,1142,187,16,2,Konya
Seydişehir,164,48103,44092,42573,20416,5498,91,123,452,8046,1300,5992,522,116,17,Konya
Yunak,71,16282,13204,12819,8114,1718,41,21,571,963,164,1035,177,10,5,Konya
Akören,19,4300,3802,3681,2427,600,7,6,8,174,41,363,50,5,0,Konya
Altınekin,44,9707,9098,8972,6346,1320,13,4,27,465,209,515,67,6,0,Konya
Derebucak,21,5093,4226,4042,2342,580,16,15,12,259,42,710,61,4,1,Konya
Hüyük,44,12670,11458,11005,5751,1445,32,42,68,1595,186,1755,108,21,2,Konya
Karatay,595,206841,188205,184689,128145,26728,839,141,5914,7166,4761,8697,2015,158,125,Konya
Meram,674,231848,211919,208250,139274,28421,234,217,3146,13863,5680,14828,2209,250,128,Konya
Selçuklu,1175,426683,382952,377100,221559,59452,575,449,12968,32837,10325,34261,3977,575,122,Konya
Taşkent,18,4512,4099,3982,2511,502,9,11,16,270,144,475,38,4,2,Konya
Ahırlı,19,3592,3140,3004,1741,490,10,12,9,234,59,396,47,4,2,Konya
Çeltik,25,7131,6069,5897,3457,686,26,20,68,569,90,919,56,3,3,Konya
Derbent,16,3303,3060,2981,1707,356,9,12,11,546,73,236,28,2,1,Konya
Emirgazi,24,5781,4836,4697,2487,677,21,14,23,847,55,515,53,3,2,Konya
Güneysınır,27,6756,6381,6271,4521,1040,2,2,6,180,113,317,85,3,2,Konya
Halkapınar,19,3279,2965,2882,1669,504,7,10,15,317,25,295,34,5,1,Konya
Tuzlukçu,23,5241,4562,4363,2139,461,7,13,30,1037,50,576,39,10,1,Konya
