district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Kula,136,34703,31731,30562,14057,4414,123,150,363,6209,268,4613,297,68,0,Manisa
Salihli,387,123901,112319,109704,33073,13209,298,333,8206,37134,708,15575,890,278,0,Manisa
Sarıgöl,93,28394,26000,24985,6894,2450,140,133,848,9242,162,4889,145,82,0,Manisa
Saruhanlı,138,41904,39071,38082,13434,3300,107,88,2855,12208,277,5472,248,93,0,Manisa
Selendi,83,16025,14523,13946,5304,4494,68,82,125,2279,120,1223,234,17,0,Manisa
Soma,269,79850,73275,71737,34202,7931,128,232,1999,16862,906,8620,662,195,0,Manisa
Turgutlu,343,116822,105261,102956,39873,11191,300,223,12237,22497,960,14501,905,269,0,Manisa
Ahmetli,46,12678,11599,11308,4962,1128,47,32,632,2633,95,1679,78,22,0,Manisa
Gölmarmara,42,11333,10470,10229,3117,1017,24,18,2009,3113,47,780,78,26,0,Manisa
Köprübaşı,62,10867,9904,9469,4396,978,44,40,102,2068,77,1664,81,19,0,Manisa
Şehzadeler,358,120239,110187,108152,41653,11947,227,191,9725,25877,849,16376,976,331,0,Manisa
Yunusemre,477,159722,146287,143711,54912,16891,234,306,14509,33828,1240,20015,1370,406,0,Manisa
Aşkale,99,16052,14507,14297,8162,3503,24,20,237,680,221,1173,257,20,0,Erzurum
Çat,57,11120,9632,9407,5146,1215,21,16,1603,862,101,336,99,8,0,Erzurum
Hınıs,115,16513,13476,12817,4163,474,63,34,6678,918,137,275,60,15,0,Erzurum
Horasan,123,23803,20217,19875,12669,3408,34,27,2000,315,184,826,390,22,0,Erzurum
İspir,122,12918,11515,11295,8002,1632,31,24,36,449,231,731,143,16,0,Erzurum
Karayazı,99,16250,13557,13098,2765,200,44,37,9734,149,59,83,22,5,0,Erzurum
Narman,57,9463,8339,8169,5068,1699,16,25,31,295,117,756,159,3,0,Erzurum
Oltu,123,22395,19698,19356,11824,4021,41,47,353,855,511,1323,362,19,0,Erzurum
Olur,47,5626,4753,4627,2967,742,13,15,13,224,60,497,87,9,0,Erzurum
Pasinler,92,18403,16667,16325,9246,3474,33,26,666,438,324,1857,238,23,0,Erzurum
Şenkaya,88,13512,10954,10659,4838,1236,30,38,1342,2094,118,589,348,26,0,Erzurum
Tekman,85,15055,12307,11720,2699,168,57,74,8199,277,101,109,21,15,0,Erzurum
Tortum,78,11952,10828,10689,7659,1846,16,15,10,220,159,619,135,10,0,Erzurum
Karaçoban,51,12845,9968,9567,1802,334,31,29,7025,151,45,105,37,8,0,Erzurum
Uzundere,27,6645,5931,5801,3869,1051,11,17,14,145,120,471,95,8,0,Erzurum
Pazaryolu,46,3422,3115,3087,2382,405,2,3,5,62,46,140,41,1,0,Erzurum
Aziziye,150,38269,34666,34228,20540,7811,33,30,630,939,612,3092,510,31,0,Erzurum
Köprüköy,53,9463,8421,8249,5149,1250,28,19,1197,124,58,358,59,7,0,Erzurum
Palandöken,323,113170,98717,97146,50206,20957,203,91,6974,3774,2132,11185,1454,170,0,Erzurum
Yakutiye,352,116710,103846,102405,58419,22699,102,93,3138,3819,2179,10119,1682,155,0,Erzurum
Anamur,171,50407,45260,43953,13733,5976,120,138,873,12836,387,9453,302,123,12,Mersin
Erdemli,317,100445,90822,88981,36339,15638,169,172,3542,14697,988,16371,865,176,24,Mersin
Gülnar,96,19688,17878,17277,5737,3735,71,69,92,3986,113,3249,182,35,8,Mersin
Mut,176,46403,41715,40607,15979,4797,110,97,467,12394,458,5927,281,82,15,Mersin
Silifke,295,90740,81222,79356,22792,10314,210,254,2060,22732,396,19721,601,252,24,Mersin
Tarsus,730,234373,207352,203440,47207,38538,1291,384,33450,51586,1207,27326,1990,397,64,Mersin
Aydıncık,32,8452,7529,7305,2553,1141,33,25,78,1863,50,1457,83,22,0,Mersin
Bozyazı,68,20305,18335,17806,6913,2470,75,34,251,3074,128,4668,154,34,5,Mersin
Çamlıyayla,26,6639,6068,5868,1946,1650,45,20,33,847,32,1210,67,12,6,Mersin
Akdeniz,507,176007,155739,152395,38503,11179,1007,265,53406,36619,756,9486,869,266,39,Mersin
Mezitli,379,134212,117675,116232,26029,11202,180,277,18308,43393,615,15131,712,324,61,Mersin
Toroslar,584,203238,176436,173843,53918,21480,778,273,40316,33444,1427,20336,1493,335,43,Mersin
Yenişehir,494,179219,157419,155495,30551,11461,397,383,33787,59043,958,17589,773,480,73,Mersin
Alucra,54,7393,5909,5756,3805,1028,5,9,14,252,109,394,132,8,0,Giresun
Bulancak,177,50136,44621,43635,23263,4874,80,95,448,9272,724,4327,456,96,0,Giresun
Dereli,63,16091,14074,13566,9485,1103,54,46,25,895,80,1662,197,19,0,Giresun
Espiye,91,25516,21777,21096,11270,2164,90,72,243,3751,235,2893,324,54,0,Giresun
Eynesil,37,10339,8827,8555,4732,735,24,24,80,1836,136,876,94,18,0,Giresun
Giresun Merkez,307,98800,86368,84644,36382,7978,205,227,1391,18110,1073,18224,788,266,0,Giresun
Görele,111,24214,20498,19834,9944,2041,63,72,203,4180,218,2841,230,42,0,Giresun
Keşap,76,17023,14358,13946,7793,1177,57,44,116,2453,148,1984,138,36,0,Giresun
Şebinkarahisar,95,15985,13736,13406,8273,2154,24,35,76,1183,157,1239,242,23,0,Giresun
Tirebolu,98,24540,21239,20664,10433,2720,66,42,186,3378,184,3328,285,42,0,Giresun
Piraziz,42,10578,9358,9130,4776,703,27,21,67,2259,129,1047,72,29,0,Giresun
Yağlıdere,48,12036,10402,10053,6751,1073,46,59,52,701,116,1084,151,20,0,Giresun
Çamoluk,37,5760,4952,4863,3791,412,15,16,8,248,115,187,64,7,0,Giresun
Çanakçı,24,4942,4362,4208,2238,1052,23,15,16,436,37,316,67,8,0,Giresun
Doğankent,20,4886,4272,4158,2636,502,12,16,31,366,33,489,63,10,0,Giresun
Güce,24,6066,5466,5349,3563,564,11,19,27,610,48,452,53,2,0,Giresun
Bartın Merkez,372,112331,98205,94178,42535,17160,228,426,1177,23615,2100,5501,1191,245,0,Bartın
Kurucaşile,34,5335,4520,4289,1946,518,29,35,38,1291,99,273,44,16,0,Bartın
Ulus,100,17763,15780,14955,8745,1780,64,125,99,2899,284,736,186,37,0,Bartın
Amasra,50,11459,10153,9673,3394,1436,24,76,188,3599,156,689,79,32,0,Bartın
Gebze,715,259788,232259,227854,112770,29023,287,391,15278,41731,4659,20377,2623,562,153,Kocaeli
Gölcük,332,116600,104307,102434,48370,10054,115,162,3601,23437,2509,12761,1065,329,31,Kocaeli
Kandıra,180,35546,33992,32759,16528,4504,87,147,1080,5747,644,3568,369,72,13,Kocaeli
Karamürsel,136,42745,37511,36742,18182,3261,51,69,1008,7999,1222,4477,358,103,12,Kocaeli
Körfez,326,114658,102402,100433,43784,12194,198,166,11111,18551,2458,10726,951,271,23,Kocaeli
Derince,294,103074,92891,91069,39966,10398,136,144,6000,20320,1799,11049,946,276,35,Kocaeli
Başiskele,197,66499,61256,60263,33942,6591,84,75,1957,8762,1995,6074,627,140,16,Kocaeli
Çayırova,242,88216,78674,77289,37734,9500,121,89,7221,14685,1699,5248,842,121,29,Kocaeli
Darıca,379,138467,123036,120889,57063,14129,185,187,14129,21606,1963,10064,1226,261,76,Kocaeli
Dilovası,90,31109,27398,26604,12058,2401,145,35,8381,1560,307,1433,250,26,8,Kocaeli
İzmit,752,255778,230498,226260,97268,22554,314,438,9991,58348,5021,29367,2120,749,90,Kocaeli
Kartepe,234,81922,74625,73066,39006,7843,120,111,3103,12719,1674,7501,774,201,14,Kocaeli
Alaca,151,24272,21973,21604,11408,3488,43,27,710,3617,178,1780,332,21,0,Çorum
Bayat,78,12906,11493,11159,7940,1123,43,42,55,686,86,1063,108,13,0,Çorum
Çorum Merkez,725,205764,189084,185814,84158,26402,175,283,8747,46520,2246,14922,1975,386,0,Çorum
İskilip,125,25436,22778,22012,13899,3455,70,122,113,1627,296,2016,374,40,0,Çorum
Kargı,80,13316,11875,11365,7217,1223,48,74,55,1674,100,821,136,17,0,Çorum
Mecitözü,70,12329,11498,11231,5117,1225,12,19,457,3575,82,574,149,21,0,Çorum
Ortaköy,27,5552,5016,4884,2048,749,8,10,253,1223,49,475,58,11,0,Çorum
Osmancık,141,33135,30083,29186,17340,3589,87,87,242,4329,269,2854,336,53,0,Çorum
Sungurlu,182,36833,33066,32344,18024,4922,76,79,423,4358,303,3607,492,60,0,Çorum
Boğazkale,20,3120,2790,2709,1765,453,7,8,34,188,33,170,44,7,0,Çorum
Uğurludağ,29,4934,4385,4277,2821,662,11,14,23,435,21,245,44,1,0,Çorum
Dodurga,24,5108,4694,4534,2212,573,8,27,41,966,61,590,41,15,0,Çorum
Laçin,21,3600,3240,3116,1753,411,13,22,60,599,41,177,35,5,0,Çorum
Oğuzlar,18,4384,4103,3953,2381,347,19,26,17,794,36,292,33,8,0,Çorum
Arpaçay,58,12163,9555,9274,3807,948,37,36,1097,1831,47,1356,96,19,0,Kars
Digor,61,13731,11217,10856,1565,97,29,50,8769,201,19,100,21,5,0,Kars
Kağızman,113,28383,22854,22074,9489,1382,68,64,9221,858,113,718,138,23,0,Kars
Kars Merkez,241,71904,58935,57475,17739,4032,163,139,16794,11624,391,6094,369,130,0,Kars
Sarıkamış,100,25957,20735,19993,9980,2095,44,46,4901,1631,206,886,186,18,0,Kars
Selim,71,15194,12708,12236,6148,640,44,47,3184,1487,148,433,91,14,0,Kars
Susuz,33,7061,5871,5704,1709,362,19,16,2072,1112,25,341,45,3,0,Kars
Akyaka,37,7383,5592,5439,2354,589,20,16,247,1463,24,669,47,10,0,Kars
Beytüşşebap,38,10435,8636,8290,1988,649,31,27,4931,348,33,245,31,5,2,Şırnak
Cizre,225,74521,65810,64030,6303,1150,1763,80,52588,947,344,719,89,35,12,Şırnak
İdil,134,37888,30901,30014,5330,638,947,36,22001,497,89,416,43,14,3,Şırnak
Silopi,201,68261,61526,59883,9446,1937,698,85,44737,1194,170,1114,80,40,382,Şırnak
Şırnak Merkez,151,47683,42318,40751,10792,3309,1348,74,22117,1198,293,1414,159,40,7,Şırnak
Uludere,75,23157,18864,18434,3479,818,45,36,12896,757,62,297,35,8,1,Şırnak
Güçlükonak,30,6363,5510,5336,1185,220,15,6,3699,107,10,79,11,3,1,Şırnak
Bodrum,374,130972,114660,113110,18310,5650,115,406,13869,57540,452,15726,498,544,0,Muğla
Datça,56,18421,16540,16273,2448,1028,21,108,2101,8311,46,2113,65,32,0,Muğla
Fethiye,330,114034,100102,98388,31651,6966,185,312,4054,33611,778,19866,614,351,0,Muğla
Köyceğiz,88,27400,24160,23423,8409,1415,65,124,760,9175,132,3118,161,64,0,Muğla
Marmaris,196,68498,58438,57495,12461,3505,68,217,4734,27557,257,8107,366,223,0,Muğla
Milas,356,108154,97945,95435,24372,5372,261,485,6127,40928,511,16515,466,398,0,Muğla
Ula,70,20214,18313,17761,5398,850,58,104,919,7633,94,2553,93,59,0,Muğla
Yatağan,123,35335,32393,31320,9383,1855,113,151,760,12000,260,6540,146,112,0,Muğla
Dalaman,90,28543,25259,24734,8304,2128,74,92,908,8241,153,4591,172,71,0,Muğla
Ortaca,110,36666,32818,32088,8570,2522,66,153,1532,13399,214,5361,176,95,0,Muğla
Kavaklıdere,28,8252,7649,7358,3457,630,29,26,36,1806,56,1234,58,26,0,Muğla
Menteşe,254,82484,73943,72284,18385,4601,136,247,3963,31014,502,12727,395,314,0,Muğla
Seydikemer,155,45938,40732,38958,18619,3271,187,190,515,8492,330,6944,314,96,0,Muğla
Bahçe,55,15126,13599,13285,5806,4588,86,24,77,1035,132,1208,307,22,0,Osmaniye
Kadirli,270,89130,77216,75726,28142,19441,253,219,736,10855,498,14441,1019,122,0,Osmaniye
Osmaniye Merkez,497,172884,147607,145282,49974,49962,626,237,7328,16458,1870,15906,2699,222,0,Osmaniye
Düziçi,190,55545,47825,46789,15427,14538,122,103,586,9051,312,5825,747,78,0,Osmaniye
Hasanbeyli,14,3261,2952,2867,1146,821,8,3,17,411,41,364,51,5,0,Osmaniye
Sumbas,36,10678,9012,8746,2902,2405,42,53,41,1253,44,1864,123,19,0,Osmaniye
Toprakkale,38,10861,10518,10390,2403,4044,20,13,800,1361,90,1479,167,13,0,Osmaniye
Çerkezköy,295,107385,94550,93009,36159,11208,153,152,11060,24916,851,7485,802,194,29,Tekirdağ
Çorlu,516,187789,167065,164576,49387,10648,163,382,11035,69919,1206,20168,987,604,77,Tekirdağ
Hayrabolu,98,25143,22649,21893,6961,932,64,82,212,9570,132,3717,114,101,8,Tekirdağ
Malkara,154,41622,37609,36418,12849,2177,88,154,466,14660,293,5387,223,113,8,Tekirdağ
Muratlı,70,21762,19899,19401,5161,1125,32,55,595,9694,125,2418,108,82,6,Tekirdağ
Saray,112,37843,34405,33660,9122,1878,49,107,922,16598,325,4359,184,103,13,Tekirdağ
Şarköy,89,26742,23517,22839,6861,1126,39,91,932,11026,119,2412,145,84,4,Tekirdağ
Marmaraereğlisi,55,18855,16511,16158,4708,1084,16,54,2111,6266,107,1665,85,57,5,Tekirdağ
Ergene,129,45530,41371,40413,13216,2709,52,95,3064,15841,255,4790,244,130,17,Tekirdağ
Kapaklı,211,77415,68305,67101,28751,7520,81,103,4404,18980,532,5901,646,168,15,Tekirdağ
Süleymanpaşa,443,146503,131436,129025,43636,7453,167,314,5473,51069,1073,18405,856,532,47,Tekirdağ
Bismil,251,67195,59447,57642,9050,480,0,49,44500,702,338,620,74,27,1802,Diyarbakır
Çermik,128,30594,22529,21470,10443,464,0,53,7089,782,267,726,105,26,1515,Diyarbakır
Çınar,153,37964,31723,30606,6303,167,0,41,19759,277,215,321,43,21,3459,Diyarbakır
Çüngüş,45,7986,6095,5611,2677,194,0,29,1488,530,118,338,28,17,192,Diyarbakır
Dicle,79,22394,17515,16561,2699,138,0,38,9209,180,964,2939,23,29,342,Diyarbakır
Ergani,271,79624,64415,61606,14216,1215,0,109,37851,1514,1181,1738,163,57,3562,Diyarbakır
Hani,60,18723,13950,13118,3644,240,0,36,6291,167,661,311,28,8,1732,Diyarbakır
Hazro,34,9626,7775,7396,954,291,0,11,5788,74,43,63,14,4,154,Diyarbakır
Kulp,86,21479,17144,16272,5104,217,0,32,10114,284,96,207,34,18,166,Diyarbakır
Lice,76,15862,13639,13201,984,284,0,14,11424,206,51,129,23,7,79,Diyarbakır
Silvan,174,49208,42471,40751,4795,313,0,36,32978,422,194,264,48,19,1682,Diyarbakır
Eğil,53,14020,10781,9988,2782,123,0,31,5402,181,256,852,31,12,318,Diyarbakır
Kocaköy,37,9726,8577,8266,1104,91,0,3,6720,112,62,71,15,3,85,Diyarbakır
Bağlar,660,232699,196166,190067,34582,1718,0,170,134973,3669,2693,3892,406,114,7850,Diyarbakır
Kayapınar,606,214959,184576,179474,35919,1903,0,147,120576,3823,4033,5003,387,121,7562,Diyarbakır
Sur,231,66358,55027,52865,11019,381,0,244,34685,709,816,1279,90,32,3610,Diyarbakır
Yenişehir,367,124972,104487,101348,21530,1609,0,112,65325,2930,1967,3822,316,92,3645,Diyarbakır
Delice,56,6765,6052,5948,2939,961,25,16,104,1201,47,586,61,8,0,Kırıkkale
Keskin,81,12238,11155,10862,4614,1963,15,25,238,1113,131,2600,138,25,0,Kırıkkale
Kırıkkale Merkez,412,146479,127609,125406,52879,31216,186,224,1121,18692,1586,17422,1776,304,0,Kırıkkale
Sulakyurt,36,5414,4878,4780,1390,1786,9,5,42,1335,18,103,85,7,0,Kırıkkale
Bahşili,19,5235,4726,4621,2503,1000,10,9,36,548,42,404,59,10,0,Kırıkkale
Balışeyh,33,4442,3954,3852,1686,929,17,9,90,635,46,374,53,13,0,Kırıkkale
Çelebi,17,1824,1615,1574,856,278,7,1,17,120,21,254,20,0,0,Kırıkkale
Karakeçili,10,2376,2171,2119,1023,689,6,2,3,115,25,212,43,1,0,Kırıkkale
Yahşihan,44,13623,11664,11467,4721,2511,17,9,230,1993,146,1669,143,28,0,Kırıkkale
Eflani,62,6967,5998,5733,3676,613,21,49,31,549,89,619,71,15,0,Karabük
Eskipazar,65,9966,8760,8467,4965,1411,26,48,35,661,182,960,166,13,0,Karabük
Karabük Merkez,282,91193,79991,78148,42395,11089,128,215,808,11288,1288,9801,961,175,0,Karabük
Ovacık,44,2991,2767,2653,1668,252,17,32,11,329,29,288,21,6,0,Karabük
Safranbolu,184,47753,42081,41066,19916,5008,83,116,517,9050,713,5129,406,128,0,Karabük
Yenice,74,16630,14808,13990,6826,1901,48,92,84,2867,304,1693,138,37,0,Karabük
Bünyan,83,19362,18562,18132,7922,4926,34,33,416,1928,338,2189,312,30,4,Kayseri
Develi,161,46331,41691,40729,21638,10416,74,50,205,3354,586,3576,764,54,12,Kayseri
Felahiye,20,4619,3771,3624,1533,778,7,9,16,711,54,437,71,5,3,Kayseri
İncesu,64,18028,16538,16030,8337,3207,51,43,659,1559,324,1607,220,18,5,Kayseri
Pınarbaşı,141,17042,14533,14204,4972,3012,41,32,335,1917,142,3506,203,36,8,Kayseri
Sarıoğlan,47,10853,9586,9318,4066,2120,30,21,210,1733,138,851,137,9,3,Kayseri
Sarız,49,7845,6598,6393,1879,1587,14,19,711,1097,67,901,106,12,0,Kayseri
Tomarza,78,16643,14999,14611,7151,3707,23,28,91,1714,217,1425,233,17,5,Kayseri
Yahyalı,94,26262,24096,23693,15292,4607,37,25,111,1261,418,1643,277,18,4,Kayseri
Yeşilhisar,49,12217,11179,10886,5283,1856,27,22,91,2037,146,1236,164,18,6,Kayseri
Akkışla,22,5063,4339,4084,1708,626,19,35,38,834,42,707,59,13,3,Kayseri
Talas,298,103995,93266,91971,38054,21180,86,167,1843,14240,1810,12940,1293,223,135,Kayseri
Kocasinan,782,271577,246820,241975,121284,50304,499,347,5291,30127,4019,25858,3534,412,300,Kayseri
Melikgazi,1062,380506,347243,341828,174859,71521,514,428,6128,39504,6300,36926,4736,609,303,Kayseri
Hacılar,30,8904,8471,8290,5620,1376,16,11,34,504,96,519,104,7,3,Kayseri
Özvatan,15,3382,3034,2934,1282,853,7,4,14,365,36,286,83,3,1,Kayseri
Abana,22,3293,2862,2788,1516,282,3,4,23,699,26,196,31,8,0,Kastamonu
Araç,138,15078,13284,12820,7472,1465,46,67,35,2279,130,1163,136,27,0,Kastamonu
Azdavay,57,6112,5202,4979,2234,616,36,43,30,1278,50,604,63,25,0,Kastamonu
Bozkurt,49,7879,6868,6611,4099,1072,14,39,26,568,101,581,101,10,0,Kastamonu
Cide,108,18047,14848,14247,8241,1485,73,106,131,2668,125,1201,180,37,0,Kastamonu
Çatalzeytin,47,5530,4755,4543,2836,507,19,27,39,646,75,324,55,15,0,Kastamonu
Daday,68,7041,6127,5913,2495,1125,31,32,33,1454,71,594,63,15,0,Kastamonu
Devrekani,68,9896,8765,8521,4744,1635,30,49,31,935,73,875,134,15,0,Kastamonu
İnebolu,106,15896,13858,13309,8274,1685,47,80,75,1571,138,1219,186,34,0,Kastamonu
Kastamonu Merkez,404,102847,90709,88818,38013,22142,153,224,778,16273,820,8985,1235,195,0,Kastamonu
Küre,45,4494,3896,3729,2039,678,10,35,18,516,30,326,67,10,0,Kastamonu
Taşköprü,170,30579,26474,25757,12943,5351,71,90,69,3654,156,2974,388,61,0,Kastamonu
Tosya,136,32513,29129,28379,16515,6966,76,104,104,1815,288,1905,575,31,0,Kastamonu
İhsangazi,35,4273,3778,3657,2181,766,15,21,16,288,21,282,61,6,0,Kastamonu
Pınarbaşı,35,4766,3939,3751,2166,390,23,36,25,633,67,365,33,13,0,Kastamonu
Şenpazar,31,3859,3084,2932,1904,315,18,34,29,359,17,217,33,6,0,Kastamonu
Ağlı,25,2395,2067,1987,1092,452,8,7,8,177,18,192,29,4,0,Kastamonu
Doğanyurt,29,4635,3763,3555,2235,637,30,32,27,274,36,216,64,4,0,Kastamonu
Hanönü,26,3305,2912,2807,1354,427,16,37,16,665,18,233,33,8,0,Kastamonu
Seydiler,27,3195,2871,2801,1547,475,8,8,11,398,21,302,29,2,0,Kastamonu
Edirne Merkez,379,129665,113977,111935,29000,5896,165,318,5182,49779,1410,19076,509,476,124,Edirne
Enez,34,9309,8398,8172,1630,266,23,33,646,4306,68,1130,36,33,1,Edirne
Havsa,54,15815,14384,13930,3472,637,43,56,381,6487,236,2470,70,64,14,Edirne
İpsala,74,21984,19661,18953,6475,916,78,63,199,8199,129,2736,99,49,10,Edirne
Keşan,205,62536,55365,54039,15832,2803,97,140,1419,26067,407,6824,265,162,23,Edirne
Lalapaşa,31,5373,4880,4701,1819,278,14,24,57,1734,62,674,16,16,7,Edirne
Meriç,43,11788,10249,9737,3131,349,45,43,119,4521,71,1368,54,29,7,Edirne
Uzunköprü,165,49212,43851,42347,10883,1666,130,165,679,20451,320,7663,170,192,28,Edirne
Süloğlu,18,4932,4397,4263,1388,293,12,21,62,1708,62,673,28,12,4,Edirne
Akçaabat,328,89071,78911,76795,43818,10415,109,164,444,10093,1684,8934,936,162,36,Trabzon
Araklı,138,34344,28633,28144,19489,3958,19,37,179,1543,964,1534,389,27,5,Trabzon
Arsin,79,21038,18380,18113,11989,2693,15,32,59,1249,515,1326,207,23,5,Trabzon
Çaykara,59,11059,9521,9160,6127,968,19,34,58,973,263,587,103,21,7,Trabzon
Maçka,101,19243,16654,16271,9571,1873,18,33,75,2996,387,1091,199,22,6,Trabzon
Of,130,33135,29257,28687,19253,4394,23,54,182,1957,1152,1214,405,34,19,Trabzon
Sürmene,90,19719,16770,16324,10363,2054,21,32,95,1781,611,1140,194,28,5,Trabzon
Tonya,45,11848,10503,9969,5396,730,29,31,204,2421,270,755,94,34,5,Trabzon
Vakfıkebir,83,20857,18407,17837,9820,2621,37,44,83,2576,401,1976,235,40,4,Trabzon
Yomra,94,26731,22879,22464,12595,3392,30,45,150,2659,432,2835,282,42,2,Trabzon
Beşikdüzü,62,16871,14914,14460,5236,1401,35,52,160,4318,195,2852,147,56,8,Trabzon
Şalpazarı,38,9231,8263,7986,5051,732,27,19,24,1003,169,865,75,16,5,Trabzon
Çarşıbaşı,45,11785,10547,10204,5761,1533,34,29,46,1194,116,1333,140,16,2,Trabzon
Dernekpazarı,17,3332,2923,2832,2086,220,2,8,3,170,139,167,33,3,1,Trabzon
Düzköy,37,10682,9195,8915,4823,1160,15,16,85,1918,138,620,119,18,3,Trabzon
Hayrat,40,6444,5736,5643,4172,766,11,4,9,265,112,169,78,5,52,Trabzon
Köprübaşı,21,3843,3213,3099,2229,368,11,2,7,150,102,185,44,1,0,Trabzon
Ortahisar,679,233950,204700,200917,96711,27714,160,280,2410,37082,4845,28684,2355,554,122,Trabzon
Adıyaman Merkez,620,193718,170910,166939,80895,16923,1322,184,32013,21296,2699,10293,1146,168,0,Adıyaman
Besni,195,50927,42421,41083,22159,3733,183,121,4083,6994,479,2941,317,73,0,Adıyaman
Çelikhan,53,10671,9888,9634,5348,509,43,14,1909,1299,239,210,53,10,0,Adıyaman
Gerger,63,11605,8803,8528,6688,284,41,26,788,309,163,180,40,9,0,Adıyaman
Gölbaşı,115,34202,29717,29005,13369,4106,88,80,2256,6492,270,1982,308,54,0,Adıyaman
Kahta,290,74961,62538,60785,40651,3304,2301,123,9707,1780,1377,1195,316,31,0,Adıyaman
Samsat,25,4806,4414,4319,2853,418,219,1,384,105,146,174,15,4,0,Adıyaman
Sincik,54,11512,10450,10366,9046,497,26,4,196,147,104,305,37,4,0,Adıyaman
Tut,28,6879,5957,5725,2763,747,26,18,305,1298,37,473,48,10,0,Adıyaman
Seçim çevresi toplamı (3 nolu),3756,1317525,1185636,1168663,466935,162684,1325,2234,63678,278375,18679,158152,12546,3586,469,Ankara
Ayaş,45,9827,9049,8872,3711,1088,21,33,278,2716,83,853,65,22,2,Ankara
Beypazarı,157,36755,32677,31979,14822,6814,58,87,573,3517,381,5238,434,48,7,Ankara
Nallıhan,121,22582,20128,19516,8890,2995,51,56,127,3661,171,3247,248,60,10,Ankara
Yenimahalle,1320,483390,436824,430886,147343,49092,330,953,28961,131397,7376,59713,3968,1551,202,Ankara
Sincan,1029,361722,327145,321802,167607,54765,521,398,12341,42449,4565,34055,4349,674,78,Ankara
Etimesgut,1084,403249,359813,355608,124562,47930,344,707,21398,94635,6103,55046,3482,1231,170,Ankara
